num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
16500,31035,0.004427671432495117,0.34165477752685547,0.0037004947662353516,0.005057573318481445,0.029762983322143555,0.033685922622680664,0.00098419189453125,0.41927361488342285
16750,30698,0.004551887512207031,0.3335747718811035,0.003805398941040039,0.005085945129394531,0.029936790466308594,0.033479928970336914,0.0012180805206298828,0.4116528034210205
17000,33173,0.004578828811645508,0.372344970703125,0.0038034915924072266,0.0051844120025634766,0.03019404411315918,0.03549957275390625,0.0010249614715576172,0.45263028144836426
17250,34463,0.004633665084838867,0.39029908180236816,0.003925323486328125,0.005329132080078125,0.031165122985839844,0.03710436820983887,0.0010399818420410156,0.473496675491333
17500,34916,0.004749774932861328,0.3920261859893799,0.003968477249145508,0.005312442779541016,0.03158855438232422,0.03741741180419922,0.001001119613647461,0.47606396675109863
17750,35680,0.004748344421386719,0.40329599380493164,0.004006147384643555,0.0053844451904296875,0.03198385238647461,0.038222312927246094,0.0010385513305664062,0.4886796474456787
18000,37467,0.004950284957885742,0.43368983268737793,0.004130840301513672,0.005522489547729492,0.03253650665283203,0.04019880294799805,0.000926971435546875,0.5219557285308838
18250,37980,0.004933595657348633,0.4426600933074951,0.004109382629394531,0.005528688430786133,0.03278994560241699,0.04015207290649414,0.0011682510375976562,0.5313420295715332
18500,38774,0.005025148391723633,0.4500105381011963,0.004080295562744141,0.005571842193603516,0.03315997123718262,0.040988922119140625,0.0015740394592285156,0.5404107570648193
18750,39927,0.00513148307800293,0.46831846237182617,0.0042877197265625,0.005486488342285156,0.03378558158874512,0.042063236236572266,0.0010743141174316406,0.5601472854614258
19000,41174,0.00514531135559082,0.4846341609954834,0.004323482513427734,0.005794048309326172,0.03405022621154785,0.04347848892211914,0.0005457401275634766,0.5779714584350586
19250,42244,0.00519871711730957,0.5028290748596191,0.004269599914550781,0.0057773590087890625,0.034637451171875,0.04447007179260254,0.0010025501251220703,0.5981848239898682
19500,43354,0.0052928924560546875,0.5191919803619385,0.004410982131958008,0.0058400630950927734,0.03496551513671875,0.04564237594604492,0.0009725093841552734,0.6163163185119629
